epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,738.219,0.95901,1.85536,1.28129,0.73673,0.66424,0.70224,0.51407,0.789,1.75112,1.13049,0.000237759,0.000237759,0.000237759
2,1456.88,0.98436,1.03146,1.2634,0.6948,0.71063,0.72373,0.54179,0.7708,1.42203,1.12417,0.000428659,0.000428659,0.000428659
3,2552.29,0.95834,0.93547,1.24062,0.73327,0.74175,0.76555,0.55272,0.79929,2.40647,1.13385,0.000572435,0.000572435,0.000572435
4,3670.98,0.90792,0.82343,1.20309,0.76952,0.74671,0.78516,0.58597,0.73715,1.59308,1.09273,0.000501942,0.000501942,0.000501942
5,4853.04,0.86248,0.73584,1.17601,0.83969,0.78816,0.83765,0.64237,0.69176,1.15548,1.05117,0.000431256,0.000431256,0.000431256
6,5855.76,0.82434,0.65696,1.14553,0.83182,0.82529,0.85964,0.67986,0.62491,0.761,1.00158,0.00036057,0.00036057,0.00036057
7,7058.25,0.79415,0.59953,1.11964,0.86,0.80722,0.87066,0.69232,0.61679,1.00256,0.99256,0.000289884,0.000289884,0.000289884
8,7971.13,0.76012,0.54444,1.09116,0.86786,0.82586,0.89004,0.71453,0.58629,0.96507,0.974,0.000219198,0.000219198,0.000219198
9,8940.29,0.74107,0.51093,1.08522,0.88615,0.85019,0.89888,0.72807,0.57545,0.57468,0.97068,0.000148512,0.000148512,0.000148512
10,10008.2,0.71186,0.4692,1.06689,0.886,0.85548,0.90614,0.73638,0.56042,0.40104,0.95536,7.7826e-05,7.7826e-05,7.7826e-05
